id,domain_tag,prompt,generation_prompt,negative_prompt,image_path,seed,resolution,num_inference_steps,guidance_scale,latency_ms,file_size_kb,contrast,saturation,color_variation,edge_density,brightness,quality_score,quality_flag
fast_256_001,sports,football player in red uniform running across a wet stadium field,"football player in red uniform running across a wet stadium field, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\fast_256\images\fast_256_001_sports.png,20260412,256x256,10,4.0,2202.84,106.46,0.9983,0.4341,0.9497,0.5801,0.5286,0.755,good
fast_256_002,sports,basketball player jumping near the hoop under bright arena lights,"basketball player jumping near the hoop under bright arena lights, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\fast_256\images\fast_256_002_sports.png,20260413,256x256,10,4.0,329.08,102.43,1.0,0.3397,1.0,0.6341,0.5193,0.749,good
fast_256_003,sports,tennis racket and ball on a blue court with strong shadows,"tennis racket and ball on a blue court with strong shadows, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\fast_256\images\fast_256_003_sports.png,20260414,256x256,10,4.0,322.01,102.88,1.0,0.3648,1.0,0.5807,0.6012,0.7362,good
fast_256_004,sports,cyclist on a mountain road during a cloudy morning race,"cyclist on a mountain road during a cloudy morning race, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\fast_256\images\fast_256_004_sports.png,20260415,256x256,10,4.0,318.5,111.03,0.6144,0.3022,0.5853,0.4431,0.4183,0.4606,review
fast_256_005,animals_nature,golden retriever sitting near a small river in autumn forest,"golden retriever sitting near a small river in autumn forest, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\fast_256\images\fast_256_005_animals_nature.png,20260416,256x256,10,4.0,326.97,124.95,0.7297,0.4864,0.6742,0.662,0.3862,0.5867,review
fast_256_006,animals_nature,white sheep standing on a snowy hill under pale sky,"white sheep standing on a snowy hill under pale sky, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\fast_256\images\fast_256_006_animals_nature.png,20260417,256x256,10,4.0,318.4,105.81,1.0,0.3933,1.0,0.4968,0.636,0.7126,good
fast_256_007,animals_nature,green turtle on a clean white studio background,"green turtle on a clean white studio background, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\fast_256\images\fast_256_007_animals_nature.png,20260418,256x256,10,4.0,318.27,130.42,1.0,0.2064,0.958,0.8825,0.5185,0.7565,good
fast_256_008,animals_nature,deer silhouette near trees with orange sunset behind,"deer silhouette near trees with orange sunset behind, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\fast_256\images\fast_256_008_animals_nature.png,20260419,256x256,10,4.0,326.68,130.59,0.8861,0.5276,0.7768,0.7738,0.3992,0.6903,good
fast_256_009,people_entertainment,singer holding a microphone on a small concert stage,"singer holding a microphone on a small concert stage, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\fast_256\images\fast_256_009_people_entertainment.png,20260420,256x256,10,4.0,330.66,57.29,0.6883,0.2629,0.6325,0.1073,0.4656,0.4336,review
fast_256_010,people_entertainment,actor walking on a red carpet near photographers,"actor walking on a red carpet near photographers, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\fast_256\images\fast_256_010_people_entertainment.png,20260421,256x256,10,4.0,337.25,111.07,1.0,0.4214,1.0,0.7879,0.3245,0.7129,good
fast_256_011,people_entertainment,business woman presenting a chart in a modern office,"business woman presenting a chart in a modern office, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\fast_256\images\fast_256_011_people_entertainment.png,20260422,256x256,10,4.0,325.57,77.4,1.0,0.2656,1.0,0.4207,0.7146,0.6376,good
fast_256_012,people_entertainment,person dancing in colorful clothes during a city festival,"person dancing in colorful clothes during a city festival, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\fast_256\images\fast_256_012_people_entertainment.png,20260423,256x256,10,4.0,318.04,116.97,1.0,0.5076,1.0,0.5794,0.6679,0.7418,good
fast_256_013,places_objects,minimal living room with green couch and wooden coffee table,"minimal living room with green couch and wooden coffee table, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\fast_256\images\fast_256_013_places_objects.png,20260424,256x256,10,4.0,320.59,79.89,1.0,0.1829,1.0,0.5419,0.5103,0.6888,good
fast_256_014,places_objects,safe deposit box with paper money on a white background,"safe deposit box with paper money on a white background, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\fast_256\images\fast_256_014_places_objects.png,20260425,256x256,10,4.0,319.73,102.77,1.0,0.2144,1.0,0.7815,0.6597,0.7144,good
fast_256_015,places_objects,modern bridge over a river with glass buildings nearby,"modern bridge over a river with glass buildings nearby, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\fast_256\images\fast_256_015_places_objects.png,20260426,256x256,10,4.0,315.46,106.41,1.0,0.3371,1.0,0.7812,0.5412,0.7867,good
fast_256_016,places_objects,bright bus station with empty benches and morning light,"bright bus station with empty benches and morning light, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\fast_256\images\fast_256_016_places_objects.png,20260427,256x256,10,4.0,323.16,114.29,1.0,0.3594,1.0,0.8041,0.459,0.7609,good
