id,domain_tag,prompt,generation_prompt,negative_prompt,image_path,seed,resolution,num_inference_steps,guidance_scale,latency_ms,file_size_kb,contrast,saturation,color_variation,edge_density,brightness,quality_score,quality_flag
balanced_256_001,sports,football player in red uniform running across a wet stadium field,"football player in red uniform running across a wet stadium field, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_256\images\balanced_256_001_sports.png,20261412,256x256,14,5.5,519.37,109.47,0.9466,0.8015,0.9005,0.4898,0.4464,0.764,good
balanced_256_002,sports,basketball player jumping near the hoop under bright arena lights,"basketball player jumping near the hoop under bright arena lights, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_256\images\balanced_256_002_sports.png,20261413,256x256,14,5.5,515.38,106.79,1.0,0.3577,1.0,0.5547,0.5494,0.7501,good
balanced_256_003,sports,tennis racket and ball on a blue court with strong shadows,"tennis racket and ball on a blue court with strong shadows, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_256\images\balanced_256_003_sports.png,20261414,256x256,14,5.5,515.43,92.14,1.0,0.4201,1.0,0.3975,0.6246,0.7046,good
balanced_256_004,sports,cyclist on a mountain road during a cloudy morning race,"cyclist on a mountain road during a cloudy morning race, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_256\images\balanced_256_004_sports.png,20261415,256x256,14,5.5,508.06,110.39,0.8823,0.2997,0.823,0.4523,0.4029,0.5875,review
balanced_256_005,animals_nature,golden retriever sitting near a small river in autumn forest,"golden retriever sitting near a small river in autumn forest, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_256\images\balanced_256_005_animals_nature.png,20261416,256x256,14,5.5,506.75,118.62,0.448,0.5398,0.3953,0.5207,0.2911,0.4079,review
balanced_256_006,animals_nature,white sheep standing on a snowy hill under pale sky,"white sheep standing on a snowy hill under pale sky, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_256\images\balanced_256_006_animals_nature.png,20261417,256x256,14,5.5,508.62,75.16,0.4489,0.1654,0.389,0.2422,0.6488,0.3072,review
balanced_256_007,animals_nature,green turtle on a clean white studio background,"green turtle on a clean white studio background, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_256\images\balanced_256_007_animals_nature.png,20261418,256x256,14,5.5,522.22,133.88,0.514,0.0998,0.4762,0.8347,0.811,0.4006,review
balanced_256_008,animals_nature,deer silhouette near trees with orange sunset behind,"deer silhouette near trees with orange sunset behind, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_256\images\balanced_256_008_animals_nature.png,20261419,256x256,14,5.5,516.14,111.17,1.0,0.6923,0.8934,0.5424,0.3133,0.7056,good
balanced_256_009,people_entertainment,singer holding a microphone on a small concert stage,"singer holding a microphone on a small concert stage, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_256\images\balanced_256_009_people_entertainment.png,20261420,256x256,14,5.5,526.99,85.36,1.0,0.6705,1.0,0.3094,0.4472,0.7358,good
balanced_256_010,people_entertainment,actor walking on a red carpet near photographers,"actor walking on a red carpet near photographers, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_256\images\balanced_256_010_people_entertainment.png,20261421,256x256,14,5.5,511.29,86.36,1.0,0.4758,1.0,0.4174,0.5143,0.7378,good
balanced_256_011,people_entertainment,business woman presenting a chart in a modern office,"business woman presenting a chart in a modern office, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_256\images\balanced_256_011_people_entertainment.png,20261422,256x256,14,5.5,517.43,70.38,1.0,0.5396,1.0,0.3622,0.3818,0.6879,good
balanced_256_012,people_entertainment,person dancing in colorful clothes during a city festival,"person dancing in colorful clothes during a city festival, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_256\images\balanced_256_012_people_entertainment.png,20261423,256x256,14,5.5,524.62,127.01,0.9857,0.2904,0.9378,0.8003,0.587,0.7498,good
balanced_256_013,places_objects,minimal living room with green couch and wooden coffee table,"minimal living room with green couch and wooden coffee table, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_256\images\balanced_256_013_places_objects.png,20261424,256x256,14,5.5,529.46,99.93,0.8456,0.3069,0.7821,0.409,0.4769,0.5865,review
balanced_256_014,places_objects,safe deposit box with paper money on a white background,"safe deposit box with paper money on a white background, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_256\images\balanced_256_014_places_objects.png,20261425,256x256,14,5.5,528.63,56.06,1.0,0.0233,0.9799,0.5296,0.6323,0.6282,good
balanced_256_015,places_objects,modern bridge over a river with glass buildings nearby,"modern bridge over a river with glass buildings nearby, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_256\images\balanced_256_015_places_objects.png,20261426,256x256,14,5.5,516.15,119.79,1.0,0.2997,0.9865,0.8275,0.3475,0.7007,good
balanced_256_016,places_objects,bright bus station with empty benches and morning light,"bright bus station with empty benches and morning light, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\balanced_256\images\balanced_256_016_places_objects.png,20261427,256x256,14,5.5,527.29,110.8,1.0,0.4345,0.981,0.6516,0.5079,0.7671,good
