id,domain_tag,prompt,generation_prompt,negative_prompt,image_path,seed,resolution,num_inference_steps,guidance_scale,latency_ms,file_size_kb,contrast,saturation,color_variation,edge_density,brightness,quality_score,quality_flag
detailed_256_001,sports,football player in red uniform running across a wet stadium field,"football player in red uniform running across a wet stadium field, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\detailed_256\images\detailed_256_001_sports.png,20262412,256x256,20,7.0,577.22,100.66,1.0,0.6579,1.0,0.5603,0.4416,0.7777,good
detailed_256_002,sports,basketball player jumping near the hoop under bright arena lights,"basketball player jumping near the hoop under bright arena lights, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\detailed_256\images\detailed_256_002_sports.png,20262413,256x256,20,7.0,576.35,94.56,0.9853,0.5111,0.8693,0.2946,0.2814,0.6021,good
detailed_256_003,sports,tennis racket and ball on a blue court with strong shadows,"tennis racket and ball on a blue court with strong shadows, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\detailed_256\images\detailed_256_003_sports.png,20262414,256x256,20,7.0,565.23,137.16,0.8932,0.5977,0.8541,0.8327,0.6043,0.7757,good
detailed_256_004,sports,cyclist on a mountain road during a cloudy morning race,"cyclist on a mountain road during a cloudy morning race, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\detailed_256\images\detailed_256_004_sports.png,20262415,256x256,20,7.0,577.57,83.24,1.0,0.1747,1.0,0.3123,0.5197,0.6453,good
detailed_256_005,animals_nature,golden retriever sitting near a small river in autumn forest,"golden retriever sitting near a small river in autumn forest, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\detailed_256\images\detailed_256_005_animals_nature.png,20262416,256x256,20,7.0,631.98,128.3,0.5964,0.4109,0.5805,0.6915,0.3696,0.5102,review
detailed_256_006,animals_nature,white sheep standing on a snowy hill under pale sky,"white sheep standing on a snowy hill under pale sky, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\detailed_256\images\detailed_256_006_animals_nature.png,20262417,256x256,20,7.0,563.61,92.43,0.6116,0.1446,0.5437,0.3036,0.628,0.4018,review
detailed_256_007,animals_nature,green turtle on a clean white studio background,"green turtle on a clean white studio background, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\detailed_256\images\detailed_256_007_animals_nature.png,20262418,256x256,20,7.0,574.18,79.37,0.9842,0.1809,0.8542,0.2672,0.7355,0.5519,review
detailed_256_008,animals_nature,deer silhouette near trees with orange sunset behind,"deer silhouette near trees with orange sunset behind, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\detailed_256\images\detailed_256_008_animals_nature.png,20262419,256x256,20,7.0,579.55,115.31,0.8762,0.5626,0.7664,0.5532,0.2541,0.5964,review
detailed_256_009,people_entertainment,singer holding a microphone on a small concert stage,"singer holding a microphone on a small concert stage, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\detailed_256\images\detailed_256_009_people_entertainment.png,20262420,256x256,20,7.0,570.54,82.83,1.0,0.3071,1.0,0.2113,0.5484,0.6684,good
detailed_256_010,people_entertainment,actor walking on a red carpet near photographers,"actor walking on a red carpet near photographers, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\detailed_256\images\detailed_256_010_people_entertainment.png,20262421,256x256,20,7.0,574.66,100.8,0.7244,0.3538,0.6687,0.3971,0.3966,0.5087,review
