id,prompt,generation_prompt,negative_prompt,image_path,domain_tag,source_type,generator,base_model_checkpoint,seed,resolution,num_inference_steps,guidance_scale,quality_score,quality_score_type,quality_flag
synthetic_001,football player in red uniform running across a wet stadium field,"football player in red uniform running across a wet stadium field, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_001_sports.png,sports,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260411,512x512,25,7.0,0.617,technical_image_score,accepted
synthetic_002,basketball player jumping near the hoop under bright arena lights,"basketball player jumping near the hoop under bright arena lights, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_002_sports.png,sports,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260412,512x512,25,7.0,0.692,technical_image_score,accepted
synthetic_003,tennis racket and ball on a blue court with strong shadows,"tennis racket and ball on a blue court with strong shadows, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_003_sports.png,sports,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260413,512x512,25,7.0,0.692,technical_image_score,accepted
synthetic_004,cyclist on a mountain road during a cloudy morning race,"cyclist on a mountain road during a cloudy morning race, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_004_sports.png,sports,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260414,512x512,25,7.0,0.508,technical_image_score,accepted
synthetic_005,goalkeeper catching a ball during a night soccer match,"goalkeeper catching a ball during a night soccer match, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_005_sports.png,sports,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260415,512x512,25,7.0,0.677,technical_image_score,accepted
synthetic_006,runner crossing a finish line in a city marathon,"runner crossing a finish line in a city marathon, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_006_sports.png,sports,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260416,512x512,25,7.0,0.542,technical_image_score,accepted
synthetic_007,swimmer diving into a blue Olympic pool,"swimmer diving into a blue Olympic pool, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_007_sports.png,sports,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260417,512x512,25,7.0,0.774,technical_image_score,accepted
synthetic_008,ski jumper flying over a snowy mountain slope,"ski jumper flying over a snowy mountain slope, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_008_sports.png,sports,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260418,512x512,25,7.0,0.66,technical_image_score,accepted
synthetic_009,boxer training with a punching bag in a small gym,"boxer training with a punching bag in a small gym, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_009_sports.png,sports,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260419,512x512,25,7.0,0.737,technical_image_score,accepted
synthetic_010,baseball player swinging a bat in a sunny stadium,"baseball player swinging a bat in a sunny stadium, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_010_sports.png,sports,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260420,512x512,25,7.0,0.645,technical_image_score,accepted
synthetic_011,ice hockey player skating fast with the puck,"ice hockey player skating fast with the puck, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_011_sports.png,sports,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260421,512x512,25,7.0,0.686,technical_image_score,accepted
synthetic_012,surfer riding a large wave at sunset,"surfer riding a large wave at sunset, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_012_sports.png,sports,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260422,512x512,25,7.0,0.592,technical_image_score,accepted
synthetic_013,gymnast balancing on a beam under arena lights,"gymnast balancing on a beam under arena lights, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_013_sports.png,sports,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260423,512x512,25,7.0,0.468,technical_image_score,accepted
synthetic_014,golden retriever sitting near a small river in autumn forest,"golden retriever sitting near a small river in autumn forest, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_014_animals_nature.png,animals_nature,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260424,512x512,25,7.0,0.634,technical_image_score,accepted
synthetic_015,white sheep standing on a snowy hill under pale sky,"white sheep standing on a snowy hill under pale sky, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_015_animals_nature.png,animals_nature,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260425,512x512,25,7.0,0.506,technical_image_score,accepted
synthetic_016,green turtle on a clean white studio background,"green turtle on a clean white studio background, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_016_animals_nature.png,animals_nature,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260426,512x512,25,7.0,0.506,technical_image_score,accepted
synthetic_017,deer silhouette near trees with orange sunset behind,"deer silhouette near trees with orange sunset behind, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_017_animals_nature.png,animals_nature,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260427,512x512,25,7.0,0.738,technical_image_score,accepted
synthetic_018,brown horse running through a misty meadow,"brown horse running through a misty meadow, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_018_animals_nature.png,animals_nature,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260428,512x512,25,7.0,0.666,technical_image_score,accepted
synthetic_019,red fox standing beside a fallen tree in a forest,"red fox standing beside a fallen tree in a forest, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_019_animals_nature.png,animals_nature,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260429,512x512,25,7.0,0.401,technical_image_score,accepted
synthetic_020,small bird perched on a branch after rain,"small bird perched on a branch after rain, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_020_animals_nature.png,animals_nature,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260430,512x512,25,7.0,0.565,technical_image_score,accepted
synthetic_021,gray cat sleeping near a window with plants,"gray cat sleeping near a window with plants, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",images/synthetic_021_animals_nature.png,animals_nature,synthetic_diffusion,diffusers.StableDiffusionPipeline,segmind/tiny-sd,20260431,512x512,25,7.0,0.623,technical_image_score,accepted
