id,prompt,image_path,source_dataset,source_split,source_index,width,height
cc_seed_0001,a very typical bus station,images/cc_seed_0001.jpg,pasindu/google_conceptual_captions_20000,train,0,800,534
cc_seed_0002,sierra looked stunning in this top and this skirt while performing with person at their former university,images/cc_seed_0002.jpg,pasindu/google_conceptual_captions_20000,train,1,500,441
cc_seed_0003,interior design of modern living room with fireplace in a new house,images/cc_seed_0003.jpg,pasindu/google_conceptual_captions_20000,train,2,450,470
cc_seed_0004,cybernetic scene isolated on white background .,images/cc_seed_0004.jpg,pasindu/google_conceptual_captions_20000,train,3,450,470
cc_seed_0005,the jetty : different types of plants to establish a variety of ecosystems .,images/cc_seed_0005.jpg,pasindu/google_conceptual_captions_20000,train,4,1200,678
cc_seed_0006,traditional ornamental floral paisley bandanna .,images/cc_seed_0006.jpg,pasindu/google_conceptual_captions_20000,train,5,450,470
cc_seed_0007,# of the sports team skates against sports team during their game .,images/cc_seed_0007.jpg,pasindu/google_conceptual_captions_20000,train,6,491,612
cc_seed_0008,a flight was traveling when the animal got free on tuesday night,images/cc_seed_0008.jpg,pasindu/google_conceptual_captions_20000,train,7,634,422
cc_seed_0009,celebrities start decorating for the christmas season lifestyle,images/cc_seed_0009.jpg,pasindu/google_conceptual_captions_20000,train,8,640,640
cc_seed_0010,functions of government : 1 . form a more perfect union,images/cc_seed_0010.jpg,pasindu/google_conceptual_captions_20000,train,9,960,720
cc_seed_0011,all shots by by person and rider shots can be found on his website .,images/cc_seed_0011.jpg,pasindu/google_conceptual_captions_20000,train,10,800,532
cc_seed_0012,this is real fast food !,images/cc_seed_0012.jpg,pasindu/google_conceptual_captions_20000,train,11,736,688
cc_seed_0013,safe deposit with money around it on a white background photo,images/cc_seed_0013.jpg,pasindu/google_conceptual_captions_20000,train,12,450,450
cc_seed_0014,dunes lay the blueprint for the back nine .,images/cc_seed_0014.jpg,pasindu/google_conceptual_captions_20000,train,13,640,427
cc_seed_0015,portrait of a smiling woman stroking her dog lying on couch,images/cc_seed_0015.jpg,pasindu/google_conceptual_captions_20000,train,14,640,446
cc_seed_0016,young business woman on a bench,images/cc_seed_0016.jpg,pasindu/google_conceptual_captions_20000,train,15,640,447
cc_seed_0017,american football player looks downfield during the second half of a football game against sports team,images/cc_seed_0017.jpg,pasindu/google_conceptual_captions_20000,train,16,800,533
cc_seed_0018,"funny animals of the week , animal pictures",images/cc_seed_0018.jpg,pasindu/google_conceptual_captions_20000,train,17,600,400
cc_seed_0019,the sign promises as much as the glorious blue sky .,images/cc_seed_0019.jpg,pasindu/google_conceptual_captions_20000,train,18,900,726
cc_seed_0020,people tour and enjoy the public park during summer,images/cc_seed_0020.jpg,pasindu/google_conceptual_captions_20000,train,19,640,447
cc_seed_0021,interesting 1930 's poster for a cosmetic company with stores .,images/cc_seed_0021.jpg,pasindu/google_conceptual_captions_20000,train,20,536,700
cc_seed_0022,racecar driver steers his car during video game subject .,images/cc_seed_0022.jpg,pasindu/google_conceptual_captions_20000,train,21,1024,577
cc_seed_0023,vintage elegant floral card with frame decorated with black and white lilies on a pink background .,images/cc_seed_0023.jpg,pasindu/google_conceptual_captions_20000,train,22,450,450
cc_seed_0024,heavy snow falls over a snow lined river .,images/cc_seed_0024.jpg,pasindu/google_conceptual_captions_20000,train,23,852,480
cc_seed_0025,green sea turtle isolated on a white background 3d illustration,images/cc_seed_0025.jpg,pasindu/google_conceptual_captions_20000,train,24,450,450
cc_seed_0026,"person , was surprised by the staff",images/cc_seed_0026.jpg,pasindu/google_conceptual_captions_20000,train,25,634,824
cc_seed_0027,red and white flag on the mast,images/cc_seed_0027.jpg,pasindu/google_conceptual_captions_20000,train,26,852,480
cc_seed_0028,football player celebrates scoring for football team against football team in the final,images/cc_seed_0028.jpg,pasindu/google_conceptual_captions_20000,train,27,624,400
cc_seed_0029,concept plug - in hybrid car on display,images/cc_seed_0029.jpg,pasindu/google_conceptual_captions_20000,train,28,640,447
cc_seed_0030,a pencil drawing of a zebra and her baby .,images/cc_seed_0030.jpg,pasindu/google_conceptual_captions_20000,train,29,736,642
cc_seed_0031,actor and daughters uk premiere held,images/cc_seed_0031.jpg,pasindu/google_conceptual_captions_20000,train,30,640,468
cc_seed_0032,"a fine , grainy vector pattern in black and white .",images/cc_seed_0032.jpg,pasindu/google_conceptual_captions_20000,train,31,450,470
cc_seed_0033,"seamless border of orange roses and paisley , pattern on a white background .",images/cc_seed_0033.jpg,pasindu/google_conceptual_captions_20000,train,32,450,470
cc_seed_0034,students in front of a school,images/cc_seed_0034.jpg,pasindu/google_conceptual_captions_20000,train,33,640,448
cc_seed_0035,"museum , opened is among the 20th - century 's most significant buildings .",images/cc_seed_0035.jpg,pasindu/google_conceptual_captions_20000,train,34,680,1024
cc_seed_0036,river as it meets bodies of water where airline meets,images/cc_seed_0036.jpg,pasindu/google_conceptual_captions_20000,train,35,640,447
cc_seed_0037,young rock star jamming on a guitar,images/cc_seed_0037.jpg,pasindu/google_conceptual_captions_20000,train,36,485,612
