id,domain_tag,prompt,generation_prompt,negative_prompt,image_path,seed,resolution,num_inference_steps,guidance_scale,latency_ms,file_size_kb,contrast,saturation,color_variation,edge_density,brightness,quality_score,quality_flag
guided_320_001,sports,football player in red uniform running across a wet stadium field,"football player in red uniform running across a wet stadium field, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\guided_320\images\guided_320_001_sports.png,20264412,320x320,22,7.5,649.24,177.13,1.0,0.5811,1.0,0.6447,0.5339,0.817,good
guided_320_002,sports,basketball player jumping near the hoop under bright arena lights,"basketball player jumping near the hoop under bright arena lights, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\guided_320\images\guided_320_002_sports.png,20264413,320x320,22,7.5,641.43,173.49,1.0,0.6438,1.0,0.5251,0.4989,0.7932,good
guided_320_003,sports,tennis racket and ball on a blue court with strong shadows,"tennis racket and ball on a blue court with strong shadows, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\guided_320\images\guided_320_003_sports.png,20264414,320x320,22,7.5,636.92,186.33,0.9224,0.5671,0.9139,0.5284,0.6382,0.7169,good
guided_320_004,sports,cyclist on a mountain road during a cloudy morning race,"cyclist on a mountain road during a cloudy morning race, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\guided_320\images\guided_320_004_sports.png,20264415,320x320,22,7.5,659.06,162.68,1.0,0.2012,0.9534,0.415,0.4409,0.6339,good
guided_320_005,animals_nature,golden retriever sitting near a small river in autumn forest,"golden retriever sitting near a small river in autumn forest, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\guided_320\images\guided_320_005_animals_nature.png,20264416,320x320,22,7.5,636.39,175.09,1.0,0.388,0.9301,0.4093,0.4724,0.6846,good
guided_320_006,animals_nature,white sheep standing on a snowy hill under pale sky,"white sheep standing on a snowy hill under pale sky, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\guided_320\images\guided_320_006_animals_nature.png,20264417,320x320,22,7.5,649.86,116.85,0.5463,0.1389,0.4744,0.2157,0.4979,0.3536,review
guided_320_007,animals_nature,green turtle on a clean white studio background,"green turtle on a clean white studio background, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\guided_320\images\guided_320_007_animals_nature.png,20264418,320x320,22,7.5,721.86,164.2,0.9874,0.2585,0.8873,0.3522,0.5134,0.645,good
guided_320_008,animals_nature,deer silhouette near trees with orange sunset behind,"deer silhouette near trees with orange sunset behind, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\guided_320\images\guided_320_008_animals_nature.png,20264419,320x320,22,7.5,642.22,167.64,1.0,0.6033,1.0,0.4327,0.3841,0.7161,good
guided_320_009,people_entertainment,singer holding a microphone on a small concert stage,"singer holding a microphone on a small concert stage, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\guided_320\images\guided_320_009_people_entertainment.png,20264420,320x320,22,7.5,641.09,143.16,1.0,0.5321,1.0,0.1944,0.4603,0.6866,good
guided_320_010,people_entertainment,actor walking on a red carpet near photographers,"actor walking on a red carpet near photographers, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\guided_320\images\guided_320_010_people_entertainment.png,20264421,320x320,22,7.5,666.07,166.71,1.0,0.4306,1.0,0.4898,0.5436,0.753,good
guided_320_011,people_entertainment,business woman presenting a chart in a modern office,"business woman presenting a chart in a modern office, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\guided_320\images\guided_320_011_people_entertainment.png,20264422,320x320,22,7.5,642.7,141.9,1.0,0.2136,1.0,0.6122,0.5283,0.7172,good
guided_320_012,people_entertainment,person dancing in colorful clothes during a city festival,"person dancing in colorful clothes during a city festival, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\guided_320\images\guided_320_012_people_entertainment.png,20264423,320x320,22,7.5,642.07,176.74,1.0,0.71,1.0,0.4127,0.7251,0.7326,good
guided_320_013,places_objects,minimal living room with green couch and wooden coffee table,"minimal living room with green couch and wooden coffee table, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\guided_320\images\guided_320_013_places_objects.png,20264424,320x320,22,7.5,663.52,132.34,1.0,0.2664,1.0,0.3522,0.5189,0.6754,good
guided_320_014,places_objects,safe deposit box with paper money on a white background,"safe deposit box with paper money on a white background, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\guided_320\images\guided_320_014_places_objects.png,20264425,320x320,22,7.5,649.09,140.64,0.8191,0.0783,0.7266,0.4022,0.5522,0.5314,review
guided_320_015,places_objects,modern bridge over a river with glass buildings nearby,"modern bridge over a river with glass buildings nearby, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\guided_320\images\guided_320_015_places_objects.png,20264426,320x320,22,7.5,648.04,159.63,0.9964,0.3935,0.9791,0.4639,0.556,0.7333,good
guided_320_016,places_objects,bright bus station with empty benches and morning light,"bright bus station with empty benches and morning light, realistic photo, high quality, detailed, natural lighting, sharp focus, dataset sample","low quality, blurry, distorted anatomy, extra limbs, text, watermark, logo, cropped subject, jpeg artifacts",parameter_experiments\guided_320\images\guided_320_016_places_objects.png,20264427,320x320,22,7.5,650.5,179.2,1.0,0.4087,1.0,0.8294,0.4943,0.7932,good
